YEAR,STATIONID,LON,LAT,LENGTH,AGE
1994,2531,-167.1,57,22,1
1994,2531,-167.1,57,33,2
1994,2531,-167.1,57,74,8
1994,2537,-166.5,57,22,1
1994,2537,-166.5,57,29,2
1994,2537,-166.5,57,56,5
1994,2537,-166.5,57,68,5
1994,2544,-165.8,57,14,1
1994,2544,-165.8,57,20,1
1994,2544,-165.8,57,24,2
1994,2544,-165.8,57,43,3
1994,2550,-165.2,57,23,1
1994,2550,-165.2,57,25,1
1994,2550,-165.2,57,43,3
1994,2550,-165.2,57,53,3
1994,2556,-164.6,57,22,1
1994,2556,-164.6,57,22,1
1994,2556,-164.6,57,24,1
1994,2556,-164.6,57,25,1
1994,2562,-164,57,19,1
1994,2562,-164,57,27,3
1994,2562,-164,57,34,3
1994,2562,-164,57,66,6
1994,2568,-163.4,57,44,3
1994,2568,-163.4,57,47,4
1994,2568,-163.4,57,48,5
1994,2568,-163.4,57,61,6
1994,2574,-162.8,57,18,1
1994,2574,-162.8,57,33,3
1994,2574,-162.8,57,40,3
1994,2574,-162.8,57,64,6
1994,2580,-162.2,57,27,2
1994,2580,-162.2,57,32,2
1994,2580,-162.2,57,40,3
1994,2580,-162.2,57,64,8
1994,2586,-161.6,57,13,1
1994,2586,-161.6,57,17,1
1994,2586,-161.6,57,27,2
1994,2586,-161.6,57,37,3
1994,2592,-161,57,16,1
1994,2592,-161,57,38,3
1994,2592,-161,57,42,4
1994,2592,-161,57,72,5
1994,2598,-160.4,57,20,1
1994,2598,-160.4,57,21,1
1994,2598,-160.4,57,36,3
1994,2598,-160.4,57,43,3
1994,2605,-159.7,57,14,1
1994,2605,-159.7,57,16,1
1994,2605,-159.7,57,27,2
1994,2605,-159.7,57,39,4
1994,2611,-159.1,57,9,1
1994,2611,-159.1,57,11,1
1994,2611,-159.1,57,19,1
1994,2611,-159.1,57,26,3
1994,2958,-173.3,57.3,22,1
1994,2958,-173.3,57.3,25,1
1994,2958,-173.3,57.3,25,1
1994,2958,-173.3,57.3,26,1
1994,2970,-172.1,57.3,22,1
1994,2970,-172.1,57.3,23,1
1994,2970,-172.1,57.3,52,3
1994,2970,-172.1,57.3,62,5
1994,2976,-171.5,57.3,20,1
1994,2976,-171.5,57.3,20,1
1994,2976,-171.5,57.3,45,3
1994,2976,-171.5,57.3,53,3
1994,2989,-170.2,57.3,17,1
1994,2989,-170.2,57.3,19,1
1994,2989,-170.2,57.3,34,2
1994,2989,-170.2,57.3,39,2
1994,2995,-169.6,57.3,18,1
1994,2995,-169.6,57.3,22,1
1994,2995,-169.6,57.3,22,1
1994,2995,-169.6,57.3,28,1
1994,3001,-169,57.3,22,1
1994,3001,-169,57.3,32,2
1994,3001,-169,57.3,33,2
1994,3001,-169,57.3,71,9
1994,3007,-168.4,57.3,26,3
1994,3007,-168.4,57.3,32,3
1994,3007,-168.4,57.3,38,3
1994,3007,-168.4,57.3,53,4
1994,3014,-167.7,57.3,16,1
1994,3014,-167.7,57.3,40,3
1994,3014,-167.7,57.3,44,2
1994,3014,-167.7,57.3,54,4
1994,3020,-167.1,57.3,20,1
1994,3020,-167.1,57.3,25,1
1994,3020,-167.1,57.3,51,4
1994,3020,-167.1,57.3,66,6
1994,3032,-165.9,57.3,21,1
1994,3032,-165.9,57.3,24,1
1994,3032,-165.9,57.3,37,2
1994,3032,-165.9,57.3,60,5
1994,3045,-164.6,57.3,16,1
1994,3045,-164.6,57.3,26,2
1994,3045,-164.6,57.3,32,3
1994,3045,-164.6,57.3,33,2
1994,3051,-164,57.3,26,2
1994,3051,-164,57.3,27,2
1994,3051,-164,57.3,46,4
1994,3051,-164,57.3,46,4
1994,3057,-163.4,57.3,28,2
1994,3057,-163.4,57.3,36,2
1994,3057,-163.4,57.3,39,3
1994,3057,-163.4,57.3,43,3
1994,3063,-162.8,57.3,28,2
1994,3063,-162.8,57.3,36,2
1994,3063,-162.8,57.3,40,3
1994,3063,-162.8,57.3,40,3
1994,3076,-161.5,57.3,21,1
1994,3076,-161.5,57.3,22,1
1994,3076,-161.5,57.3,24,2
1994,3076,-161.5,57.3,24,1
